area,latitude,longitude,node_id,node_type,index_right,us_state
NWMT,46.31254399998155,-114.1051071198872,CORVLS_LNODEREA,LOAD,26.0,Montana
BANC,38.55393333331922,-121.20798139654605,COR_LNODENE1,LOAD,4.0,California
BANC,38.55393333331922,-121.20809638123195,COR_LNODENE3,LOAD,4.0,California
AVA,46.06377307597981,-116.35266720940768,COTTONWD_1_COTTONWODLNODE,LOAD,12.0,Idaho
PSE,47.7325,-122.0875,COT_LNODEXF1,LOAD,47.0,Washington
BPAT,44.13035699998273,-122.24378301410528,COUGAR_1_G01GNODE,GEN,37.0,Oregon
BPAT,44.13035699998273,-122.24390898589472,COUGAR_1_G02GNODE,GEN,37.0,Oregon
AVA,47.61254439855754,-119.2761686988336,COUL_CTY_1_1LNODE,LOAD,47.0,Washington
SRP,38.56133194836893,-112.580249,COVE_U1GNODE,GEN,44.0,Utah
SRP,38.56125102580034,-112.58018925049846,COVE_U2GNODE,GEN,44.0,Utah
SRP,33.47,-112.3,COWDEN_LNODE12LD1,LOAD,2.0,Arizona
SRP,33.469999999953515,-112.29989243758509,COWDE_SR_LNODELD2,LOAD,2.0,Arizona
BPAT,46.466595999981365,-122.10915159558118,COWFALLS_2_G01GNODE,GEN,47.0,Washington
