interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,55.49151,53.51674,0.0,1.97477,0.0
2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,52.13462,51.1776,0.0,0.95702,0.0
2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.44815,51.1776,0.0,2.27055,0.0
2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,53.06605,51.1776,0.0,1.88845,0.0
2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,50.29964,49.3763,0.0,0.92334,0.0
2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,51.56694,49.3763,0.0,2.19064,0.0
2025-10-19 02:10:00-07:00,2025-10-19 09:10:00+00:00,2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,51.19829,49.3763,0.0,1.82199,0.0
2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,50.00942,49.25581,0.0,0.75361,0.0
2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,51.2804,49.25581,0.0,2.02459,0.0
2025-10-19 02:15:00-07:00,2025-10-19 09:15:00+00:00,2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,50.92066,49.25581,0.0,1.66485,0.0
2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,50.00942,49.25581,0.0,0.75361,0.0
2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,51.2804,49.25581,0.0,2.02459,0.0
2025-10-19 02:20:00-07:00,2025-10-19 09:20:00+00:00,2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,50.92066,49.25581,0.0,1.66485,0.0
2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,49.12563,48.38534,0.0,0.7403,0.0
2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,50.37415,48.38534,0.0,1.98881,0.0
2025-10-19 02:25:00-07:00,2025-10-19 09:25:00+00:00,2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,50.02076,48.38534,0.0,1.63542,0.0
2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,48.41321,47.51984,0.0,0.89337,0.0
2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,49.5794,47.51984,0.0,2.05956,0.0
2025-10-19 02:30:00-07:00,2025-10-19 09:30:00+00:00,2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,49.23055,47.51984,0.0,1.71071,0.0
2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,46.92705,46.0611,0.0,0.86595,0.0
2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,48.05744,46.0611,0.0,1.99634,0.0
2025-10-19 02:35:00-07:00,2025-10-19 09:35:00+00:00,2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,47.7193,46.0611,0.0,1.6582,0.0
2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,46.95991,46.09335,0.0,0.86656,0.0
2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,48.09109,46.09335,0.0,1.99773,0.0
2025-10-19 02:40:00-07:00,2025-10-19 09:40:00+00:00,2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,47.75271,46.09335,0.0,1.65936,0.0
2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,46.31989,45.40721,0.0,0.91268,0.0
2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,47.46892,45.40721,0.0,2.06172,0.0
2025-10-19 02:45:00-07:00,2025-10-19 09:45:00+00:00,2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,47.11906,45.40721,0.0,1.71185,0.0
2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,45.71947,44.81862,0.0,0.90085,0.0
2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,46.85361,44.81862,0.0,2.03499,0.0
2025-10-19 02:50:00-07:00,2025-10-19 09:50:00+00:00,2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,46.50828,44.81862,0.0,1.68966,0.0
2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,44.40707,43.53208,0.0,0.87499,0.0
2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,45.50865,43.53208,0.0,1.97658,0.0
2025-10-19 02:55:00-07:00,2025-10-19 09:55:00+00:00,2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,45.17323,43.53208,0.0,1.64116,0.0
2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,2025-10-19 03:05:00-07:00,2025-10-19 10:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.16583,42.38593,0.0,0.7799,0.0
2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,2025-10-19 03:05:00-07:00,2025-10-19 10:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.26536,42.38593,0.0,1.87944,0.0
2025-10-19 03:00:00-07:00,2025-10-19 10:00:00+00:00,2025-10-19 03:05:00-07:00,2025-10-19 10:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.96268,42.38593,0.0,1.57676,0.0
2025-10-19 03:05:00-07:00,2025-10-19 10:05:00+00:00,2025-10-19 03:10:00-07:00,2025-10-19 10:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.03608,42.25852,0.0,0.77756,0.0
